,0
0,27.147423
1,31.975958
2,28.125175
3,27.13078
4,28.159092
5,32.827938
6,32.852074
7,27.801739
8,28.548859
9,27.818577
10,3.2618585
11,22.179953
12,21.42186
13,4.141349
14,1.9645526
15,2.320922
16,1.5763185
17,2.2153413
18,4.1272964
19,11.040966
20,-2.5477705
21,6.884491
22,-2.460091
23,-3.830114
24,1.2489239
25,2.2970898
26,2.3247721
27,1.254107
28,9.550044
29,2.93791
30,1.239025
31,1.5510694
32,2.5401382
33,-3.3652687
34,2.8975978
35,3.5137632
36,2.2290406
37,27.893528
38,27.824991
39,28.166296
40,24.620897
41,24.257605
42,3.914943
43,28.191404
44,4.076099
45,27.911024
46,28.328716
47,27.193054
48,2.733833
49,3.7264955
50,3.9213126
51,1.8394115
52,2.3990502
53,1.8825135
54,-14.990179
55,36.952084
56,36.832195
57,32.56389
58,32.513096
59,36.77791
60,31.554405
61,26.57439
62,26.4696
63,27.601114
64,24.525925
65,24.543602
66,23.358286
67,21.593218
68,21.226082
69,25.933062
70,22.036146
71,22.574814
72,26.809053
73,16.214632
74,18.60012
75,11.33548
76,13.855359
77,12.750828
78,12.810654
79,16.296844
80,21.454403
81,22.450031
82,22.722961
83,26.308052
84,27.056894
85,24.386456
86,32.769928
87,33.18294
88,31.996407
89,31.994608
90,32.336273
91,32.29005
92,33.107834
93,31.777033
94,32.018185
95,-7.3669434
96,-6.634185
97,14.342302
98,13.2845125
99,14.28924
100,11.964813
101,14.942866
102,20.962072
103,27.017673
104,-26.347883
105,0.73680437
106,0.6448999
107,-11.380254
108,-26.362642
109,-16.682676
110,-5.4392633
111,36.89114
112,36.60924
113,-11.06273
114,0.13759345
115,0.5051073
116,0.82385683
117,-30.477314
118,28.013987
119,31.364508
120,3.4818432
121,3.6460104
122,1.7866125
123,1.2176939
124,4.0082746
125,8.687167
126,-12.99061
127,-14.831521
128,-2.4635637
129,-10.823569
130,-12.449851
131,-13.249106
132,15.086454
133,-30.772808
134,-31.762014
135,3.024661
136,-34.570965
137,-30.410276
138,-30.466753
139,0.32835984
140,-15.130092
141,-14.969738
142,-1.7449121
143,-4.06054
144,2.8298502
145,-1.221479
146,-15.441452
147,-22.918499
148,34.41964
149,35.546703
150,3.4231057
151,1.8729774
152,3.169681
153,-3.8068888
154,-1.5955576
155,-14.80956
156,-2.5586407
157,4.25036
158,-3.5850244
159,10.7129345
160,-15.067399
161,-1.8289195
162,-0.7418236
163,5.771789
164,-0.13869685
165,-2.7120068
166,2.5220299
167,10.766807
168,14.036511
169,-4.0397954
170,6.597239
171,-2.6234798
172,-1.8018973
173,-1.2491883
174,-5.8538246
175,7.2218537
176,6.472874
177,6.4528008
178,7.140078
179,7.1261587
180,5.862737
181,22.654972
182,-3.6485023
183,7.8220725
184,7.8589606
185,-1.6293734
186,5.9083295
187,29.46548
188,7.6019173
189,-13.248554
190,8.592209
191,-2.681394
192,-1.074296
193,-12.946395
194,7.038679
195,6.6386495
196,15.8284025
197,8.375463
198,-23.45617
199,-11.510427
200,-25.182623
201,-22.203926
202,-11.989668
203,-25.087143
204,-12.419435
205,9.259746
206,-22.296247
207,2.7022712
208,-13.493039
209,-13.377914
210,-14.067167
211,-12.440242
212,-11.841178
213,-20.683662
214,-25.605282
215,-16.301832
216,-6.018864
217,8.777497
218,-21.486713
219,-13.692497
220,-22.438932
221,-17.920837
222,-34.681225
223,-26.181198
224,-33.67951
225,-30.09405
226,-15.342605
227,-13.440297
228,-14.93034
229,-20.593193
230,-20.79234
231,-14.964685
232,-20.866982
233,-33.70678
234,-14.372077
235,-14.346276
236,-13.108633
237,-12.90033
238,-13.864818
239,-13.821727
240,-1.4667667
241,-0.088479295
242,1.74884
243,-0.4053987
244,-3.6355398
245,-12.912296
246,-0.8390172
247,6.4226294
248,29.519411
249,5.261061
250,-0.32300222
251,30.556812
252,10.428789
253,0.46395513
254,29.770836
255,5.4203596
256,29.74487
257,29.935617
258,29.95926
259,30.306124
260,29.949009
261,29.14569
262,6.267016
263,5.859594
264,24.123646
265,33.351612
266,9.380888
267,9.357006
268,9.157908
269,9.234828
270,9.158536
271,8.781761
272,-10.567987
273,-18.502913
274,-8.368152
275,-9.175448
276,-8.877508
277,-9.816838
278,-9.727999
279,-8.443528
280,-16.934862
281,-17.206797
282,-27.853405
283,-9.089068
284,-19.554901
285,-19.321629
286,-19.239656
287,-19.350218
288,-18.379087
289,-7.7294345
290,-20.53538
291,-7.601851
292,-8.822349
293,-9.208376
294,-9.30625
295,-8.299721
296,-11.415026
297,-11.722275
298,-7.2582192
299,-7.5203066
300,-7.602347
301,-7.4250236
302,11.115438
303,11.576029
304,-2.3549325
305,12.60786
306,-2.2841127
307,17.203852
308,20.139229
309,17.624369
310,19.68449
311,17.567858
312,17.651665
313,17.505981
314,13.593231
315,20.481
316,30.076149
317,5.354937
318,-0.39983848
319,21.245321
320,17.155867
321,10.412008
322,11.496169
323,4.597765
324,35.58519
325,7.2739067
326,-2.1708298
327,-4.778562
328,16.073402
329,30.317453
330,-3.28411
331,17.44048
332,-4.8292127
333,-4.917015
334,12.574468
335,12.8616085
336,20.930897
337,-5.1209135
338,12.671352
339,11.509544
340,19.554949
341,11.386083
342,3.3185892
343,20.632015
344,12.372563
345,20.26092
346,7.0621853
347,22.96619
348,22.937784
349,-2.8855357
350,11.254918
351,11.633951
352,-3.9684927
353,6.7761593
354,-1.0280038
355,11.640161
356,12.883335
357,13.927399
358,21.945284
359,21.82499
360,10.563801
361,11.595965
362,11.500312
363,25.940125
364,26.739788
365,23.277885
366,22.302675
367,26.195948
368,24.923584
369,26.622406
370,26.831501
371,26.45439
372,26.154451
373,25.23104
374,24.756462
375,24.495214
376,24.484802
377,26.265375
378,26.051083
379,19.028065
380,18.676437
381,15.974451
382,13.593832
383,14.262332
384,13.598928
385,13.313756
386,-6.6863823
387,-7.206362
388,-7.140728
389,-7.7362814
390,-9.806764
