,0
0,28.426907
1,31.204536
2,26.246546
3,27.95926
4,26.197937
5,32.041393
6,31.73548
7,26.971666
8,25.766666
9,26.991724
10,2.7926202
11,21.555706
12,20.928474
13,3.603786
14,1.4999753
15,1.8794372
16,1.1661445
17,1.7219453
18,3.8081393
19,10.805908
20,-3.189892
21,6.5820417
22,-3.1126285
23,-4.281593
24,0.96769553
25,1.813587
26,1.8485459
27,0.87637323
28,9.311306
29,2.4559205
30,0.74544257
31,1.0632617
32,2.0745122
33,-2.0301502
34,2.416466
35,3.0419934
36,1.7743237
37,26.575556
38,28.470972
39,26.4933
40,30.01021
41,4.1860924
42,3.4271822
43,26.149178
44,3.5389683
45,26.305254
46,26.00616
47,28.138788
48,2.2830052
49,3.2057707
50,3.3539634
51,1.3030473
52,1.9322864
53,1.3945532
54,0.5825812
55,35.841812
56,35.725098
57,31.270882
58,31.265371
59,35.672195
60,30.560215
61,27.472548
62,27.669176
63,26.490091
64,29.603893
65,29.508883
66,22.538754
67,21.10539
68,20.75777
69,25.80892
70,21.54906
71,22.131554
72,27.238098
73,15.820137
74,18.036768
75,11.007234
76,13.509005
77,12.390057
78,12.451323
79,15.889521
80,20.961866
81,22.01832
82,22.264729
83,27.964813
84,28.451323
85,29.795853
86,32.02747
87,31.943314
88,31.054485
89,31.026442
90,31.64021
91,31.449627
92,31.783388
93,30.879137
94,31.193977
95,-7.7236395
96,-6.927861
97,13.995058
98,13.007941
99,13.936798
100,11.656813
101,14.556381
102,20.475758
103,27.204689
104,-16.21634
105,0.18119004
106,0.17002612
107,-11.577663
108,-16.62369
109,-17.018229
110,-5.770933
111,35.785328
112,35.513607
113,-11.32984
114,-1.4328042
115,0.019162556
116,0.38757235
117,-15.679911
118,26.489246
119,28.917286
120,3.0469902
121,3.2614129
122,1.2577611
123,0.70837396
124,3.8189893
125,8.456372
126,-12.620684
127,0.5148486
128,-3.0969167
129,-11.100269
130,-12.304054
131,-13.043589
132,14.684819
133,-30.949577
134,-31.719763
135,2.570813
136,-34.4811
137,-15.652057
138,-30.562311
139,-0.29216868
140,-15.126044
141,-15.116273
142,-2.1705823
143,-4.4634953
144,2.358506
145,-1.5630553
146,-15.259836
147,-21.201805
148,33.35948
149,34.485115
150,2.906321
151,1.3258449
152,2.7064285
153,-4.2466087
154,-2.0156598
155,-14.645859
156,-3.1311145
157,3.6976979
158,-4.0342402
159,10.414913
160,-14.934973
161,-2.4514658
162,-1.103423
163,5.4031754
164,-0.5012858
165,-3.282155
166,2.058326
167,10.548871
168,13.626045
169,-4.4388394
170,6.295457
171,-3.3341014
172,-2.5125325
173,-1.7146664
174,-6.199735
175,6.9417925
176,6.056587
177,6.154496
178,6.846709
179,6.7535343
180,5.4290967
181,22.827888
182,-4.0893707
183,7.573426
184,7.6197076
185,-2.310905
186,5.537856
187,7.0882955
188,7.333273
189,-13.096074
190,8.36612
191,-3.0702703
192,-1.4675545
193,-12.933547
194,6.5473614
195,6.394612
196,15.428691
197,8.15336
198,-22.108736
199,-11.873799
200,-30.54991
201,-21.02933
202,-12.082929
203,-23.198372
204,-13.522448
205,9.009229
206,-20.97342
207,2.2389889
208,-13.687753
209,-13.549513
210,-23.287025
211,-13.406213
212,-12.226301
213,-24.02673
214,-26.245075
215,-16.338785
216,-6.27043
217,8.559262
218,-23.524982
219,-20.90143
220,-21.145536
221,-18.440413
222,-34.58528
223,-16.12649
224,-33.543194
225,-30.280546
226,-15.421871
227,-13.737508
228,-14.972665
229,-24.001276
230,-24.0371
231,-15.161758
232,-24.220428
233,-32.12874
234,-21.172188
235,-20.748838
236,-13.130451
237,-13.150413
238,-14.017053
239,-13.943509
240,-1.9180651
241,-0.47719818
242,1.4136274
243,-0.7538774
244,-4.1150737
245,-12.877312
246,-1.2314366
