,0
0,3.8706977
1,2.7036521
2,1.2359744
3,4.534122
4,3.2427297
5,2.9946253
6,3.9143152
7,3.480347
8,3.8354826
9,-1.998246
10,5.182076
11,0.009303524
12,-1.182985
13,-0.8805143
14,-2.4554346
15,3.2294936
16,3.8462722
17,4.371412
18,0.35123575
19,0.6111727
20,0.35945776
21,1.43726
22,1.9941921
23,1.248719
24,8.924255
25,9.20767
26,1.2105083
27,4.0710316
28,5.121525
29,5.3847713
30,8.294414
31,1.6162748
32,1.5337306
33,1.644291
34,-0.55483484
35,-2.656858
36,2.8218753
37,6.9267135
38,2.4639711
39,6.874516
40,6.939267
41,6.9957294
42,-0.037240412
43,2.4745939
44,2.8831515
45,7.476489
46,2.5921388
47,9.242744
48,-2.0122223
49,7.022573
50,2.7440019
51,5.9258885
52,2.4166903
53,2.5296504
54,4.54669
55,4.6748276
56,4.4084826
57,-0.36477447
58,3.526478
59,3.4225018
60,4.4948773
61,3.6146133
62,4.0915027
63,5.6957793
64,1.9942809
65,-0.7245835
66,-0.34672722
67,0.5528809
68,-0.37252587
69,0.16908099
70,0.78226835
71,0.16801728
72,0.8193061
73,-0.76034766
74,-0.7674611
75,6.746148
76,1.4318396
77,1.0668947
78,0.14942533
79,0.99568963
80,-0.83633494
81,-0.13687897
82,0.5354321
83,-1.7011827
84,-0.1415099
85,0.30174538
86,6.2187486
87,1.0171046
88,4.7998667
89,3.1067867
90,5.871966
91,6.85412
92,1.6791824
93,1.1913439
94,2.1624668
95,2.6844122
96,3.913235
97,3.2226484
98,6.1250367
99,0.23051883
100,4.5232563
101,3.97387
102,4.510446
103,3.514309
104,3.1397061
105,-1.8324163
106,3.4665759
107,-2.2296672
108,3.5099144
109,-1.9383197
110,-3.0510561
111,-2.4896069
112,7.2359004
113,6.99298
114,6.96148
115,-1.7917783
116,9.095996
117,9.020033
118,-3.9602346
119,8.551829
120,8.352511
121,8.501404
